category,name,relative_path,absolute_path,extension,bytes,last_write_time
third_party_characters,Megaman.rar,third_party_characters\Megaman.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Megaman.rar,.rar,11263250,2026-06-14T09:49:07
third_party_characters,noroko.zip,third_party_characters\noroko.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\noroko.zip,.zip,16212573,2026-06-14T08:50:24
third_party_characters,peketo.zip,third_party_characters\peketo.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\peketo.zip,.zip,8196847,2026-06-14T08:50:05
third_party_characters,Psylocke.rar,third_party_characters\Psylocke.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Psylocke.rar,.rar,6301997,2026-06-14T09:48:38
third_party_characters,Rogue.rar,third_party_characters\Rogue.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Rogue.rar,.rar,22714543,2026-06-14T09:49:13
third_party_characters,Ryu HD.rar,third_party_characters\Ryu HD.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Ryu HD.rar,.rar,28278932,2026-06-14T00:43:10
third_party_characters,Samus_CvS.rar,third_party_characters\Samus_CvS.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Samus_CvS.rar,.rar,5263383,2026-06-14T09:42:51
third_party_characters,SimonBelmont(CvS).rar,third_party_characters\SimonBelmont(CvS).rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\SimonBelmont(CvS).rar,.rar,3371297,2026-06-14T09:53:29
third_party_characters,Solid Snake.zip,third_party_characters\Solid Snake.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Solid Snake.zip,.zip,14094552,2026-06-14T09:43:34
third_party_characters,T. Hawk HD.zip,third_party_characters\T. Hawk HD.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\T. Hawk HD.zip,.zip,11789603,2026-06-14T00:45:56
third_party_characters,VegetaZ2.rar,third_party_characters\VegetaZ2.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\VegetaZ2.rar,.rar,43953463,2026-06-14T09:48:26
third_party_characters,Venom 01.rar,third_party_characters\Venom 01.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Venom 01.rar,.rar,8232630,2026-06-14T09:49:33
