path,bytes,lines,classes,functions,syntax_error,class_names,function_names,constants,sha256
mugenforge/no_code_director.py,17861,365,1,14,,ArchetypeProfile,"archetype_names, _profile, archetype_preview_text, _merge, _write_text_if_changed, _write_csv, _dashboard_text, _sprite_rows, _move_rows, write_no_code_dashboard, _auto_build_placeholder_sff, _auto_build_placeholder_snd, one_click_playable_skeleton, no_code_director_summary",,a489c9041b2d7e94277307da0515674dea5babdd7e1d66621c99d1a823af11d9
mugenforge/no_code_workflow.py,1459,42,0,5,,,"write_creator_profile, build_placeholder_sff_from_air, build_placeholder_snd, beginner_doctor_report, make_playable_prototype",,42cf9ef8b8bfaf0f39a85ddb6dff28378a0c8ff925383acdd142a1dba1611d12
mugenforge/operator_console.py,35254,783,1,25,,OperatorResult,"_uniq, _rel, _now, _console_dir, _write, _write_json, _write_csv, _file_sha256, _all_project_files, _safe_read, _discover_main_files, _project_counts, _code_files, _text_files, _existing_report_dirs, inspect_project_state, _phase_status, _markdown_table, write_operator_dashboard, write_next_chat_handoff, write_operator_roadmap, write_decision_log_template, build_operator_context_bundle, write_release_readiness_packet, run_operator_console_pass","OPERATOR_CONSOLE_VERSION, TEXT_EXTS, BINARY_EXTS, SKIP_PARTS",9bd1da29c224f23be7aadc4e2363c2af7767b4bb45b85a683e4781bfae6de2cc
mugenforge/palette_tools.py,3005,90,1,7,,PaletteInfo,"_clamp, read_act, write_act, palette_to_json_text, write_palette_json, build_act_from_image, remap_palette_order",,c43058d91755ead95f163f373968ef3551644cfeac132e9058d213dcafa7b785
mugenforge/parsers.py,17845,398,9,14,,"DefSection, AirClsnBox, AirFrame, AirAction, CmdCommand, StateController, StateDef, CodeScan, ProjectAudit","read_text_safely, write_text_safely, strip_inline_comment, parse_def, parse_air, parse_code, referenced_files_from_def, resolve_reference, scan_project, summarize_sff, summarize_snd, summarize_act, summarize_binary, make_new_character","TEXT_EXTS, IMAGE_EXTS, CHAR_REQUIRED_EXTS, COMMON_ANIMS",d0380848ba0f5a4d36b61f2865c3fe477a679d9a217d6c8b04b0284461637744
mugenforge/polish_lab.py,3518,106,0,13,,,"run_polish_pass, preview_command_sheet_apply, preview_air_batch_sheet_apply, export_sound_cue_sheet, preview_sound_cue_sheet_apply, validate_sound_cue_sheet, write_sprite_timeline_preview, write_state_graph_canvas_model, validate_template_pack, write_stage_source_preview, write_backup_browser, write_beginner_dashboard_v41, build_polish_reports_bundle",POLISH_LAB_VERSION,0d4b97016d1f5c9ca574317ca3949e2b4f1d8b234412d6527a82691628d74b24
mugenforge/quality_lab.py,39892,808,1,28,,QualityLabResult,"_uniq, _safe_stem, _rel, _ql_dir, _write, _code_files, _read_code, _parse_numeric_pair, _first_int, _command_defs_and_uses, _state_defs_targets_and_anims, _hitdef_rows, _playsnd_refs, _def_file_references, build_reference_matrix, _matrix_score, write_advanced_audit, write_searchable_html_index, write_move_cards, _decode_sprite_image, _alpha_bbox, build_alpha_clsn_suggestions, write_alpha_clsn_air_copy, write_animation_timing_sheet, create_asset_swap_pack, create_backup_restore_bundle, write_beginner_fix_plan, run_quality_lab_pass","TEXT_EXTS, IMAGE_EXTS",01d36c23b1ced83931fe3ddcc2da242af50809b1d248cd99cdbdedd199b8435b
mugenforge/rescue_lab.py,18145,424,2,18,,"RescueAsset, RescueResult","_rel, _now, _discover_main_files, _write_json, _write_text, _find_pngs, _find_wavs, _pcx_candidate_offsets, _find_pcxs, scan_binary_for_embedded_assets, scan_project_embedded_assets, _load_embedded_manifest, _air_unique_sprite_refs, build_recovery_manifest_from_air, build_recovered_sff_v1, create_rescue_contact_sheet, write_beginner_rescue_plan, run_rescue_lab_pass","RESCUE_LAB_VERSION, IMAGE_EXTS, BINARY_EXTS",cce700a1f7e28edca4da218364a09a4008a5afa4ac6cd7bf8810509d7de8b022
mugenforge/runtime_lab.py,48012,1014,1,44,,RuntimeLabResult,"_uniq, _rel, _runtime_dir, _write, _write_json, _timestamp, _backup_text, _code_files, _main_def, _char_name, _discover_files, _read_runtime_config, _default_config, _csv_write, _csv_read, _commands, _states, _hitdefs, write_runtime_config_template, export_runtime_launch_profiles, _shell_quote, _bat_quote, build_runtime_launch_scripts, install_runtime_debug_overlay, write_runtime_test_plan, _candidate_log_paths, parse_runtime_logs, _sha256, build_runtime_evidence_index, write_runtime_regression_checklist","RUNTIME_LAB_VERSION, TEXT_CODE_EXTS, EVIDENCE_EXTS, LOG_PATTERNS",35201a7d9ff8c90de60abab4264d898e2a9f35aaa8bcda6bc20219800190ecb7
mugenforge/runtime_runner.py,2736,63,0,1,,,main,,fc565996e9fc3b88c57398e6fb1dc7cab27c12c4e46707a7a2dcc9fe339126e9
